"Id","SalePrice"
1461,11177106599.7074
1462,4977149882193.15
1463,30631445443.1197
1464,32710499348.5945
1465,3508348295383.11
1466,3386137671.4316
1467,717492927868.943
1468,4499998521.69715
1469,4351667293441.46
1470,11086742271.3054
1471,16778471850567.3
1472,51339013.0151216
1473,87087940.0240472
1474,9830217862.97464
1475,5816011286.28935
1476,351193299444573
1477,134270264688736
1478,1226688844897008
1479,6206764548752148
1480,5.93507040070967e+21
1481,914065254145449
1482,12037562318959
1483,5509324999820.68
1484,477591465665.303
1485,27620128.8294222
1486,11730949064.8871
1487,541922056614034
1488,250233534475191
1489,1446583816976.18
1490,45545618379877.7
1491,9473690147.61876
1492,3808586137.81147
1493,1280155077794.09
1494,2664043620926.72
1495,21162190508713.7
1496,59525311351452.3
1497,9911584402.38618
1498,392198092.678275
1499,388059440.91335
1500,371763114.988325
1501,3134539279.11027
1502,142222459.244606
1503,533291221126473
1504,75688974641.2612
1505,60190768263063.1
1506,4284488683154314
1507,4057649585396.98
1508,1658205077034.19
1509,1743061142.67369
1510,1306015163044.32
1511,992063827127.026
1512,60318951024093.4
1513,153629861.142276
1514,897076773096182
1515,545031346737.466
1516,4008921872.52789
1517,217385461304.937
1518,158546996835928
1519,48723809397174.5
1520,362123670260.75
1521,845272065555.554
1522,1917975561526.04
1523,5558189582.90044
1524,9539732950.82176
1525,36240422445.7389
1526,43683669650.6822
1527,193337108.606311
1528,5621163686.52167
1529,641026651828.838
1530,13911936491680.8
1531,1083854592.57488
1532,18599782811.8644
1533,5809312028014.33
1534,5870821455.77799
1535,93074265773.1891
1536,53559758713.1146
1537,433241812.920666
1538,27040639671.3128
1539,17378127.4989282
1540,5127726512.40439
1541,2037860504.57292
1542,51608063965.2204
1543,312988680110.924
1544,1784790170.73452
1545,304740782.951419
1546,223624901.989798
1547,6240930206.66188
1548,3352807240.23753
1549,108639141.168461
1550,22786272602.6074
1551,240371903513.721
1552,13052935396.9448
1553,3657654544.81645
1554,640897953.88202
1555,17416090794341.9
1556,678776290.629624
1557,786366670449.467
1558,244042800.250215
1559,643279141.175291
1560,8825051057.29965
1561,2983670808061724
1562,9756582946.93687
1563,8800797041.61332
1564,4516753528816.34
1565,1733328545.35454
1566,24936348215834.9
1567,429890525.697243
1568,455231690482.472
1569,38332018753.1949
1570,758388491.392922
1571,2315903899.80026
1572,579982247194.971
1573,76261527385049.3
1574,1410127742814.96
1575,28036720668576.7
1576,52662015893.3855
1577,1431325980820.83
1578,971070218.372865
1579,11702705346.0232
1580,17516900832.1529
1581,96114937011.8781
1582,10928363865.7313
1583,43352262548434720
1584,158761552725.095
1585,8246299386.18426
1586,66635.847494618
1587,14214552.4686551
1588,821094278700.204
1589,1564242779.45876
1590,66138487151.8425
1591,24177332708.6529
1592,207281794683.131
1593,8497237369.19442
1594,122604.409370358
1595,12490501943.0008
1596,96313928863542.4
1597,128717680586.825
1598,54619187.2463247
1599,58935452112.0057
1600,869325846123.468
1601,32254163.9074808
1602,408258240.350604
1603,1268977237.05132
1604,259340253287608
1605,206385079230.101
1606,1812996255054.27
1607,21167351019666700
1608,7698288658969.63
1609,1315650218945.66
1610,21494536.2565164
1611,154502682167.217
1612,21342997558099.7
1613,6498033462109.8
1614,26368982264.663
1615,111924681.653177
1616,97283636.069091
1617,112636122.955888
1618,9305906988.5502
1619,6856067595.33298
1620,1134840488287.65
1621,462539156.217756
1622,10644736881.8369
1623,803883072921240
1624,684095501016.458
1625,11135345524.267
1626,22204709406117.2
1627,40338740061.2856
1628,136831320328.658
1629,26435832.3174904
1630,1077204472162241408
1631,24100380633628.4
1632,236842602490730
